SubjectID,Set,Jname,RA,Dec,SDSS_ObjId
18224714,SDRAGN02,J093852.70+524943.9,144.7196,52.8289,1237654652571418735
18224715,SDRAGN02,J093856.30+151923.7,144.7346,15.3233,1237668289079149025
18224716,SDRAGN02,J094103.62+312618.7,145.2651,31.4385,1237664879951282849
18224718,SDRAGN02,J094124.02+394441.8,145.3501,39.745,1237660343399678202
18224719,SDRAGN02,J094348.17+363540.8,145.9508,36.5947,1237661384383332604
18828271,Green03,J094953.45+071900.4,147.4727,7.3168,1237658491728363693
18217689,Green01,J095100.54+051026.7,147.75225,5.17408,1237658298455556205
18224721,SDRAGN02,J095549.71+095022.9,148.9571,9.8397,1237660669815292132
18224722,SDRAGN02,J095605.87+162829.9,149.0245,16.475,1237670965389427127
18217690,Green01,J095620.11+271339.2,149.08379,27.22756,1237665368499683475
18315479,Green02,J095833.44+561937.8,149.63933,56.32717,1237653612113821838
18835837,Green03,J100149.52+284708.9,150.4563,28.7858,1237667113873965082
18315486,Green02,J100211.71+324815.2,150.5488,32.80425,1237664871900578085
18224724,SDRAGN02,J100334.14+062703.8,150.8923,6.4511,1237658424086757629
18835849,Green03,J101147.31+071915.2,152.9471,7.3209,1237658300605399213
18231056,SDRAGN03,J101316.03+171715.0,153.3168,17.2875,1237670965391262054
18231057,SDRAGN03,J101529.72+550401.2,153.8738,55.067,1237655107296690682
18231059,SDRAGN03,J101559.94+045717.1,153.9998,4.9548,1237654606396850185
18217691,Green01,J101659.02+522330.9,154.24592,52.39192,1237657769637183539
18231060,SDRAGN03,J101704.05+081744.9,154.2669,8.2958,1237658492268183812
18231062,SDRAGN03,J101758.63+040328.3,154.4943,4.0579,1237654601028468968
18231063,SDRAGN03,J102148.49+171926.3,155.452,17.324,1237670964855243030
18231064,SDRAGN03,J102444.01+460011.4,156.1834,46.0032,1237658612513767603
18231066,SDRAGN03,J102609.45+144932.7,156.5394,14.8258,1237668494699921544
18217693,Green01,J102733.29+544227.9,156.88871,54.70775,1237657222021906966
18231067,SDRAGN03,J103127.83+533145.1,157.866,53.5292,1237657220411359574
18231068,SDRAGN03,J103258.48+475437.3,158.2437,47.9104,1237658206114415307
18231070,SDRAGN03,J103409.34+073610.9,158.5389,7.603,1237658300607824103
18231071,SDRAGN03,J103428.79+375856.7,158.62,37.9824,1237662226206032157
18231073,SDRAGN03,J103514.94+023203.6,158.8123,2.5343,1237651736821432529
18835838,Green03,J103538.08+292018.3,158.9087,29.3384,1237665367966744668
18231074,SDRAGN03,J103631.88+022144.1,159.1328,2.3623,1237651754001170530
18231075,SDRAGN03,J103635.49+483425.5,159.1479,48.5738,1237657855530172859
18231076,SDRAGN03,J103930.18+251107.3,159.8758,25.1853,1237667430101811373
18231077,SDRAGN03,J103932.12+461205.3,159.884,46.2015,1237658203430322358
18231078,SDRAGN03,J104018.62+281518.5,160.0776,28.2551,1237667212130517390
18231080,SDRAGN03,J104201.36+090606.1,160.5057,9.1017,1237671931207549265
18231081,SDRAGN03,J104433.44+284837.3,161.1393,28.8104,1237667212667846965
18231082,SDRAGN03,J104616.66+181842.8,161.5694,18.3119,1237668289086357900
18217694,Green01,J105426.23+573649.1,163.60929,57.61364,1237658302742855820
18231084,SDRAGN03,J105452.02+552112.2,163.7168,55.3534,1237657220949869202
18231085,SDRAGN03,J110158.51+493228.6,165.4938,49.5413,1237658206116643023
18231086,SDRAGN03,J110215.68+290725.2,165.5653,29.1237,1237667212132614284
18835843,Green03,J110239.98+341828.4,165.6666,34.3079,1237665017386500253
18234857,SDRAGN04,J111117.95+113315.8,167.8248,11.5544,1237661812267483178
18234859,SDRAGN04,J111801.98+193209.1,169.5083,19.5359,1237668293910004356
18234861,SDRAGN04,J111956.19+072710.2,169.9841,7.4528,1237661971715916265
18217695,Green01,J112319.19+362331.0,170.82996,36.39194,1237664337714020479
18828272,Green03,J112437.40+045618.9,171.15583,4.93858,1237655125540274290
18234862,SDRAGN04,J112526.53+014301.5,171.3606,1.7171,1237651752932803080
18234864,SDRAGN04,J112811.63+241746.9,172.0485,24.2964,1237667550348050489
18234866,SDRAGN04,J112932.83+595518.3,172.3868,59.9218,1237655108912087248
18234867,SDRAGN04,J113032.02+104725.7,172.6334,10.7905,1237658493886791908
18835850,Green03,J113048.64+235513.3,172.7027,23.9204,1237667549811377119
18234868,SDRAGN04,J113231.69+250352.7,173.132,25.0646,1237667912199176540
18234870,SDRAGN04,J113648.57+125239.7,174.2024,12.8777,1237661813343977617
18234871,SDRAGN04,J113711.82+263335.5,174.2993,26.5599,1237667429570642352
18234873,SDRAGN04,J114047.57+185924.2,175.1982,18.9901,1237668292838621701
